Country,id,Source,Food_source_percentage,Recovered
Maldives, MDV,Animal fats,0.9325,96
Maldives, MDV,Cereals - Excluding Beer,22.5577,96
Maldives, MDV,Fruits - Excluding Wine,2.1314,96
Maldives, MDV,Meat,1.8872,96
Maldives, MDV,Milk - Excluding Butter,3.8854,96
Maldives, MDV,Oilcrops,0.3552,96
Maldives, MDV,Starchy Roots,0.8215,96
Maldives, MDV,Sugar & Sweeteners,5.373,96
Maldives, MDV,Vegetal Products,37.8996,96
Maldives, MDV,Vegetable Oils,0.9325,96
New Zealand, NZL,Alcoholic Beverages,1.6474,96
New Zealand, NZL,Animal Products,15.1117,96
New Zealand, NZL,Animal fats,4.562,96
New Zealand, NZL,Cereals - Excluding Beer,14.4781,96
New Zealand, NZL,Fruits - Excluding Wine,1.6632,96
New Zealand, NZL,Meat,6.8747,96
New Zealand, NZL,Milk - Excluding Butter,2.2968,96
New Zealand, NZL,Oilcrops,0.8871,96
New Zealand, NZL,Starchy Roots,1.5524,96
New Zealand, NZL,Sugar & Sweeteners,8.8706,96
New Zealand, NZL,Vegetal Products,34.8804,96
New Zealand, NZL,Vegetable Oils,3.3581,96
Saudi Arabia, SAU,Alcoholic Beverages,0,97
Saudi Arabia, SAU,Animal Products,7.59,97
Saudi Arabia, SAU,Animal fats,0.7825,97
Saudi Arabia, SAU,Cereals - Excluding Beer,23.4585,97
Saudi Arabia, SAU,Fruits - Excluding Wine,3.2707,97
Saudi Arabia, SAU,Meat,3.349,97
Saudi Arabia, SAU,Milk - Excluding Butter,2.6448,97
Saudi Arabia, SAU,Oilcrops,0.2347,97
Saudi Arabia, SAU,Starchy Roots,0.5321,97
Saudi Arabia, SAU,Sugar & Sweeteners,4.6479,97
Saudi Arabia, SAU,Vegetal Products,42.41,97
Saudi Arabia, SAU,Vegetable Oils,7.2457,97
Suriname, SUR,Alcoholic Beverages,1.4479,97
Suriname, SUR,Animal Products,6.2001,97
Suriname, SUR,Animal fats,0.2042,97
Suriname, SUR,Cereals - Excluding Beer,20.8094,97
Suriname, SUR,Fruits - Excluding Wine,2.5617,97
Suriname, SUR,Meat,3.8426,97
Suriname, SUR,Milk - Excluding Butter,1.1138,97
Suriname, SUR,Oilcrops,1.0581,97
Suriname, SUR,Starchy Roots,1.188,97
Suriname, SUR,Sugar & Sweeteners,7.5924,97
Suriname, SUR,Vegetal Products,43.7906,97
Suriname, SUR,Vegetable Oils,6.8127,97
Tajikistan, TJK,Alcoholic Beverages,0.1427,96
Tajikistan, TJK,Animal Products,5.1831,96
Tajikistan, TJK,Animal fats,0,96
Tajikistan, TJK,Cereals - Excluding Beer,27.4132,96
Tajikistan, TJK,Fruits - Excluding Wine,1.5216,96
Tajikistan, TJK,Meat,2.3776,96
Tajikistan, TJK,Milk - Excluding Butter,2.3776,96
Tajikistan, TJK,Oilcrops,0.4042,96
Tajikistan, TJK,Starchy Roots,1.379,96
Tajikistan, TJK,Sugar & Sweeteners,3.8992,96
Tajikistan, TJK,Vegetal Products,44.8407,96
Tajikistan, TJK,Vegetable Oils,5.4922,96
Timor-Leste, TLS,Alcoholic Beverages,0.1169,97
Timor-Leste, TLS,Animal Products,5.0491,97
Timor-Leste, TLS,Animal fats,0.3974,97
Timor-Leste, TLS,Cereals - Excluding Beer,32.7256,97
Timor-Leste, TLS,Fruits - Excluding Wine,0.6078,97
Timor-Leste, TLS,Meat,3.9972,97
Timor-Leste, TLS,Milk - Excluding Butter,0.1169,97
Timor-Leste, TLS,Oilcrops,0.9818,97
Timor-Leste, TLS,Starchy Roots,2.4778,97
Timor-Leste, TLS,Sugar & Sweeteners,2.5245,97
Timor-Leste, TLS,Vegetal Products,44.9743,97
Timor-Leste, TLS,Vegetable Oils,2.9687,97
Turkmenistan, TKM,Alcoholic Beverages,0.2263,96
Turkmenistan, TKM,Animal Products,13.1267,96
Turkmenistan, TKM,Animal fats,1.7409,96
Turkmenistan, TKM,Cereals - Excluding Beer,27.4025,96
Turkmenistan, TKM,Fruits - Excluding Wine,1.3231,96
Turkmenistan, TKM,Meat,6.4415,96
Turkmenistan, TKM,Milk - Excluding Butter,4.335,96
Turkmenistan, TKM,Oilcrops,0.1393,96
Turkmenistan, TKM,Starchy Roots,1.0097,96
Turkmenistan, TKM,Sugar & Sweeteners,1.3057,96
Turkmenistan, TKM,Vegetal Products,36.8558,96
Turkmenistan, TKM,Vegetable Oils,3.1337,96
Uzbekistan, UZB,Alcoholic Beverages,0.6785,96
Uzbekistan, UZB,Animal Products,10.7893,96
Uzbekistan, UZB,Animal fats,0.6123,96
Uzbekistan, UZB,Cereals - Excluding Beer,24.8221,96
Uzbekistan, UZB,Fruits - Excluding Wine,2.2174,96
Uzbekistan, UZB,Meat,3.5247,96
Uzbekistan, UZB,Milk - Excluding Butter,6.007,96
Uzbekistan, UZB,Oilcrops,0.0993,96
Uzbekistan, UZB,Starchy Roots,1.6217,96
Uzbekistan, UZB,Sugar & Sweeteners,1.7045,96
Uzbekistan, UZB,Vegetal Products,39.2189,96
Uzbekistan, UZB,Vegetable Oils,4.5011,96
Zambia, ZMB,Alcoholic Beverages,1.1925,96
Zambia, ZMB,Animal Products,3.3043,96
Zambia, ZMB,Animal fats,0.323,96
Zambia, ZMB,Cereals - Excluding Beer,31.5528,96
Zambia, ZMB,Fruits - Excluding Wine,0.2236,96
Zambia, ZMB,Meat,1.5155,96
Zambia, ZMB,Milk - Excluding Butter,0.5217,96
Zambia, ZMB,Oilcrops,3.1801,96
Zambia, ZMB,Starchy Roots,4.0994,96
Zambia, ZMB,Sugar & Sweeteners,2.559,96
Zambia, ZMB,Vegetal Products,46.7081,96
Zambia, ZMB,Vegetable Oils,3.0062,96
