Country,id,Alcoholic Beverages,Animal Products,Animal fats,Cereals - Excluding Beer,Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Oilcrops,Starchy Roots,Sugar & Sweeteners,Vegetal Products,Vegetable Oils,Recovered,Mortality,,,,,,,,,,,,,,,,,
Cote d'Ivoire, CIV,0.4579,2.1612,0.0549,18.8278,2.5458,0.8791,0.2747,1.2088,15.5495,1.63,47.8388,4.9451,98,1,,,,,,,,,,,,,,,,,
Croatia, HRV,2.7404,14.6911,2.4809,14.2695,1.508,5.4484,5.3997,0.7297,1.1351,7.4753,35.317,3.843,86,2,,,,,,,,,,,,,,,,,
Cuba, CUB,0.9825,7.6111,0.6159,19.607,3.2116,4.2968,1.9651,0.8506,3.4609,7.5964,42.3962,2.713,90,1,,,,,,,,,,,,,,,,,
Cyprus, CYP,1.6826,12.8681,0.7075,15.392,1.9312,5.9847,4.5698,1.0134,0.9943,4.4933,37.1511,7.4379,13,1,,,,,,,,,,,,,,,,,
Czechia, CZE,4.8993,14.0415,3.8156,11.4011,1.2821,5.0366,4.2735,0.2442,1.7705,6.1661,35.9737,8.1197,86,2,,,,,,,,,,,,,,,,,
Denmark, DNK,2.4239,17.7505,5.0547,13.3757,1.5814,5.0103,5.439,0.3104,1.6553,7.1386,32.2643,2.9116,69,1,,,,,,,,,,,,,,,,,
Djibouti, DJI,0.1306,3.7127,0.2799,27.8918,0.7836,1.4925,1.5858,0.1119,0.5597,6.1754,46.2873,6.25,98,1,,,,,,,,,,,,,,,,,
Dominica, DMA,1.4266,10.9375,0.9341,11.3791,5.8254,4.7724,3.9062,1.4266,5.9783,6.9633,39.0625,2.9721,94,NA,,,,,,,,,,,,,,,,,
Dominican Republic, DOM,1.589,8.6782,0.7508,13.3054,7.421,3.7716,2.9859,1.1524,1.3794,5.413,41.3305,8.521,78,2,,,,,,,,,,,,,,,,,
Ecuador, ECU,0.9275,9.7391,1.4879,23.4396,2.5894,3.9227,3.4203,0.3671,1.0242,3.6908,40.2319,7.1884,87,7,,,,,,,,,,,,,,,,,
Egypt, EGY,0.0301,4.1999,0.5269,32.2144,2.5591,1.6408,0.9935,0.7828,1.2645,4.0644,45.7926,2.0623,86,6,,,,,,,,,,,,,,,,,
El Salvador, SLV,0.9019,7.9857,1.3717,22.6043,1.9917,2.2924,3.4198,1.4092,1.2026,7.1965,41.9955,2.1984,91,3,,,,,,,,,,,,,,,,,
Estonia, EST,4.839,15.3336,1.9572,16.2121,1.5411,4.3612,7.8132,0.1387,2.25,3.7756,34.6741,2.4503,63,1,,,,,,,,,,,,,,,,,
Eswatini, SWZ,1.5593,5.5925,0.5198,27.5468,1.4969,2.7651,1.8295,0.7277,2.8274,6.7152,44.4075,1.7464,93,2,,,,,,,,,,,,,,,,,
Ethiopia, ETH,0.4774,2.0182,0.1519,31.5321,0.2821,0.651,1.1068,0.4123,6.1198,1.8663,47.9601,1.8012,84,2,,,,,,,,,,,,,,,,,
Fiji, FJI,0.7322,8.4795,2.2476,18.1338,0.63,3.5587,1.1749,3.5076,4.3419,5.9254,41.512,5.1081,91,4,,,,,,,,,,,,,,,,,
Finland, FIN,2.4873,19.2239,2.4273,14.504,1.6032,7.9562,7.267,0.2997,1.6931,4.525,30.7761,3.2814,70,2,,,,,,,,,,,,,,,,,
France, FRA,1.9955,16.9899,3.6818,13.8983,1.6582,6.1551,5.3963,0.3513,1.321,5.5509,33.0101,6.0568,7,2,,,,,,,,,,,,,,,,,
French Polynesia, PYF,1.4879,15.0676,1.8129,15.8885,1.0433,8.1409,2.7364,2.4457,1.9155,3.5574,34.941,5.3019,30,1,,,,,,,,,,,,,,,,,
Gabon, GAB,2.0617,7.1874,0.1513,18.0064,5.2771,4.4638,0.9835,2.3454,8.398,2.7237,42.8031,2.8939,98,1,,,,,,,,,,,,,,,,,
Gambia, GMB,0.3543,3.7394,0.0787,26.8845,0.1771,0.6298,1.791,4.8219,0.3543,5.5895,46.2704,7.282,97,3,,,,,,,,,,,,,,,,,
