Country,id,Alcoholic Beverages,Animal Products,Animal fats,Cereals - Excluding Beer,Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Oilcrops,Starchy Roots,Sugar & Sweeteners,Vegetal Products,Vegetable Oils,Recovered,Mortality,,,,,,,,,,,,,,,,,
Turkmenistan, TKM,0.2263,13.1267,1.7409,27.4025,1.3231,6.4415,4.335,0.1393,1.0097,1.3057,36.8558,3.1337,96,1,,,,,,,,,,,,,,,,,
Uganda, UGA,1.7949,3.8462,0.1865,13.8462,6.6667,1.4918,1.5152,1.7016,8.7413,2.6573,46.1538,4.6154,35,1,,,,,,,,,,,,,,,,,
Ukraine, UKR,1.5319,9.8831,1.2848,20.0791,1.153,3.3767,3.8379,0.0329,3.9697,6.7699,40.1087,4.0521,59,2,,,,,,,,,,,,,,,,,
United Arab Emirates, ARE,0,8.8519,0.9505,20.9268,2.614,3.6834,3.0744,0.9505,0.3862,5.4953,41.1407,3.5051,88,0,,,,,,,,,,,,,,,,,
United Republic of Tanzania, TZA,1.0643,2.7337,0.313,20.409,2.5042,0.9182,1.1895,2.2329,7.5751,2.4207,47.2663,5.3631,36,4,,,,,,,,,,,,,,,,,
United States of America, USA,2.1373,13.6201,1.3009,10.7792,1.7788,6.1065,4.925,0.9027,1.2478,8.0048,36.3733,9.2792,58,2,,,,,,,,,,,,,,,,,
Uruguay, URY,1.3481,12.1808,1.0785,17.732,1.3957,5.2181,4.8374,0.5868,1.586,7.3751,37.8113,5.8208,65,1,,,,,,,,,,,,,,,,,
Uzbekistan, UZB,0.6785,10.7893,0.6123,24.8221,2.2174,3.5247,6.007,0.0993,1.6217,1.7045,39.2189,4.5011,96,1,,,,,,,,,,,,,,,,,
Vanuatu, VUT,0.2668,7.4519,0.667,16.1044,2.287,4.3835,0.8767,10.4822,7.9093,2.4204,42.5386,2.1536,100,NA,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of), VEN,0.8454,7.2303,0.6007,21.3126,2.3804,3.1368,2.6474,0.0445,1.3571,7.7864,42.7586,7.5417,95,1,,,,,,,,,,,,,,,,,
Vietnam, VNM,0.715,10.9806,0.9363,26.9833,1.8046,7.8311,0.5618,1.8897,0.715,2.094,39.0364,1.3279,90,2,,,,,,,,,,,,,,,,,
Yemen, YEM,0,3.4667,0.3394,32.0727,1.1879,2.0121,0.6545,0.1697,0.3152,7.0303,46.5455,3.9515,66,29,,,,,,,,,,,,,,,,,
Zambia, ZMB,1.1925,3.3043,0.323,31.5528,0.2236,1.5155,0.5217,3.1801,4.0994,2.559,46.7081,3.0062,96,2,,,,,,,,,,,,,,,,,
Zimbabwe, ZWE,1.4269,3.9356,0.6904,29.8044,0.4373,1.7491,1.0817,0.6904,1.2888,5.0403,46.0759,6.2601,83,3,,,,,,,,,,,,,,,,,
