Country,id,Recovered,Mortality,Obesity,Undernourished,Malnourished
Ukraine, UKR,59,2,26.1,3.5,0
United Arab Emirates, ARE,88,0,29.9,2.6,0
United Republic of Tanzania, TZA,36,4,7.1,30.7,1
United States of America, USA,58,2,37.3,<2.5,0
Uruguay, URY,65,1,28.9,<2.5,0
Uzbekistan, UZB,96,1,15.3,6.3,0
Venezuela (Bolivarian Republic of), VEN,95,1,25.2,21.2,1
Vietnam, VNM,90,2,2.1,9.3,0
Zambia, ZMB,96,2,6.5,46.7,1
Zimbabwe, ZWE,83,3,12.3,51.3,1
